
=== Transfers for Lot: BATCH-344 ===
ID: 17, Date: 2025-12-13, Code: 313, Out: 1.0, Ret: 0.0, Avail: 7.0
ID: 78, Date: 2025-12-22, Code: 903, Out: 1.0, Ret: 0.0, Avail: 5.0
ID: 79, Date: 2025-12-22, Code: 900, Out: 7.0, Ret: 0.0, Avail: 2.0
ID: 80, Date: 2025-12-22, Code: 902, Out: 10.0, Ret: 0.0, Avail: 73.0
ID: 108, Date: 2026-01-01, Code: 300, Out: 3.0, Ret: 0.0, Avail: 30.0
ID: 109, Date: 2026-01-01, Code: 301, Out: 24.0, Ret: 0.0, Avail: 126.0
ID: 113, Date: 2026-01-01, Code: 306, Out: 1.0, Ret: 0.0, Avail: 17.119999999999997
ID: 114, Date: 2026-01-01, Code: 307, Out: 7.0, Ret: 0.0, Avail: 45.0
ID: 118, Date: 2026-01-01, Code: 311, Out: 2.0, Ret: 0.0, Avail: 12.0
ID: 137, Date: 2026-01-02, Code: 202, Out: 13.25, Ret: 0.0, Avail: 180.7
ID: 140, Date: 2026-01-02, Code: 300, Out: 1.0, Ret: 0.0, Avail: 29.0
ID: 141, Date: 2026-01-02, Code: 301, Out: 6.0, Ret: 0.0, Avail: 120.0
ID: 145, Date: 2026-01-02, Code: 306, Out: 1.0, Ret: 0.0, Avail: 16.12
ID: 146, Date: 2026-01-02, Code: 307, Out: 2.0, Ret: 0.0, Avail: 43.0
ID: 166, Date: 2026-01-02, Code: 500, Out: 1.0, Ret: 0.0, Avail: 55.0
ID: 167, Date: 2026-01-02, Code: 515, Out: 1.0, Ret: 0.0, Avail: 16.0
ID: 175, Date: 2026-01-05, Code: 202, Out: 26.25, Ret: 0.0, Avail: 154.45
ID: 179, Date: 2026-01-05, Code: 217, Out: 5.0, Ret: 0.0, Avail: 5.0
ID: 181, Date: 2026-01-05, Code: 300, Out: 1.0, Ret: 0.0, Avail: 28.0
ID: 182, Date: 2026-01-05, Code: 301, Out: 6.0, Ret: 0.0, Avail: 114.0
ID: 187, Date: 2026-01-05, Code: 306, Out: 1.0, Ret: 0.0, Avail: 15.120000000000001
ID: 189, Date: 2026-01-05, Code: 307, Out: 2.0, Ret: 0.0, Avail: 41.0
ID: 193, Date: 2026-01-05, Code: 311, Out: 1.0, Ret: 0.0, Avail: 11.0
ID: 205, Date: 2026-01-09, Code: 201, Out: 0.25, Ret: 0.0, Avail: 34.75
ID: 206, Date: 2026-01-09, Code: 202, Out: 23.75, Ret: 0.0, Avail: 130.7
ID: 207, Date: 2026-01-09, Code: 205, Out: 10.0, Ret: 0.0, Avail: 0.0
ID: 210, Date: 2026-01-09, Code: 210, Out: 5.0, Ret: 0.0, Avail: 0.0
ID: 211, Date: 2026-01-09, Code: 211, Out: 5.0, Ret: 0.0, Avail: 0.0
ID: 213, Date: 2026-01-09, Code: 218, Out: 10.0, Ret: 0.0, Avail: 0.0
ID: 214, Date: 2026-01-09, Code: 221, Out: 10.0, Ret: 0.0, Avail: 0.0
ID: 215, Date: 2026-01-09, Code: 224, Out: 10.0, Ret: 0.0, Avail: 0.0
ID: 216, Date: 2026-01-09, Code: 300, Out: 3.0, Ret: 0.0, Avail: 25.0
ID: 218, Date: 2026-01-09, Code: 301, Out: 6.0, Ret: 0.0, Avail: 108.0
ID: 224, Date: 2026-01-10, Code: 202, Out: 26.0, Ret: 0.0, Avail: 104.69999999999999
ID: 230, Date: 2026-01-10, Code: 306, Out: 0.5, Ret: 0.0, Avail: 14.62
ID: 232, Date: 2026-01-10, Code: 307, Out: 1.0, Ret: 0.0, Avail: 40.0
ID: 237, Date: 2026-01-10, Code: 208, Out: 0.25, Ret: 0.0, Avail: 1.75
ID: 238, Date: 2026-01-10, Code: 209, Out: 0.25, Ret: 0.0, Avail: 11.65
ID: 240, Date: 2026-01-10, Code: 304, Out: 0.5, Ret: 0.0, Avail: 23.5
ID: 249, Date: 2026-01-16, Code: 202, Out: 1.5, Ret: 0.0, Avail: 103.2
ID: 250, Date: 2026-01-16, Code: 202, Out: 0.625, Ret: 0.0, Avail: 102.575
ID: 252, Date: 2026-01-16, Code: 300, Out: 3.0, Ret: 0.0, Avail: 22.0
ID: 253, Date: 2026-01-16, Code: 301, Out: 6.0, Ret: 0.0, Avail: 102.0
ID: 257, Date: 2026-01-16, Code: 306, Out: 1.0, Ret: 0.0, Avail: 13.62
ID: 258, Date: 2026-01-16, Code: 307, Out: 7.0, Ret: 0.0, Avail: 33.0
ID: 263, Date: 2026-01-17, Code: 201, Out: 0.1, Ret: 0.0, Avail: 34.65
ID: 264, Date: 2026-01-17, Code: 202, Out: 2.18, Ret: 0.0, Avail: 100.395
ID: 265, Date: 2026-01-17, Code: 206, Out: 0.2, Ret: 0.0, Avail: 46.16
ID: 271, Date: 2026-01-18, Code: 202, Out: 0.25, Ret: 0.0, Avail: 100.145
ID: 274, Date: 2026-01-18, Code: 301, Out: 6.0, Ret: 0.0, Avail: 96.0
ID: 275, Date: 2026-01-18, Code: 301, Out: 6.0, Ret: 0.0, Avail: 90.0
ID: 276, Date: 2026-01-18, Code: 301, Out: 6.0, Ret: 0.0, Avail: 84.0
ID: 277, Date: 2026-01-18, Code: 302, Out: 1.75, Ret: 0.0, Avail: 38.25
ID: 278, Date: 2026-01-18, Code: 303, Out: 0.25, Ret: 0.0, Avail: 6.25
